tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0349825	movie	Miracle	Miracle	0.0	2004.0		135	Biography,Drama,History
tt0419677	movie	Dead Man's Shoes	Dead Man's Shoes	0.0	2004.0		90	Crime,Drama,Thriller
tt0428803	movie	March of the Penguins	La marche de l'empereur	0.0	2005.0		80	Documentary,Family
tt0172684	movie	Kuch Kuch Hota Hai	Kuch Kuch Hota Hai	0.0	1998.0		185	Comedy,Drama,Musical
tt0362225	movie	Tell No One	Ne le dis à personne	0.0	2006.0		131	Crime,Drama,Mystery
tt0109045	movie	The Adventures of Priscilla, Queen of the Desert	The Adventures of Priscilla, Queen of the Desert	0.0	1994.0		104	Comedy,Music
tt0054953	movie	The Guns of Navarone	The Guns of Navarone	0.0	1961.0		158	Action,Adventure,Drama
tt19500164	movie	Nimona	Nimona	0.0	2023.0		101	Action,Adventure,Animation
tt1410063	movie	The Flowers of War	Jin ling shi san chai	0.0	2011.0		146	Drama,History,Romance
tt0460989	movie	The Wind that Shakes the Barley	The Wind That Shakes the Barley	0.0	2006.0		127	Drama,War
tt0095250	movie	The Big Blue	Le grand bleu	0.0	1988.0		168	Adventure,Drama,Sport
tt0150662	movie	Show Me Love	Fucking Åmål	0.0	1998.0		89	Comedy,Drama,Romance
tt0112913	movie	Fallen Angels	Do lok tin si	0.0	1995.0		99	Comedy,Crime,Drama
tt0049223	movie	Forbidden Planet	Forbidden Planet	0.0	1956.0		98	Adventure,Sci-Fi
tt0084707	movie	Sophie's Choice	Sophie's Choice	0.0	1982.0		150	Drama,Romance
tt0047673	movie	White Christmas	White Christmas	0.0	1954.0		120	Comedy,Musical,Romance
tt0038109	movie	Spellbound	Spellbound	0.0	1945.0		111	Drama,Film-Noir,Mystery
tt1276419	movie	A Royal Affair	En kongelig affære	0.0	2012.0		137	Biography,Drama,History
tt11127680	movie	Boiling Point	Boiling Point	0.0	2021.0		92	Drama,Thriller
tt0111512	movie	Drunken Master II	Jui kuen II	0.0	1994.0		102	Action,Comedy
tt0094336	movie	Withnail and I	Withnail & I	0.0	1987.0		107	Comedy,Drama
tt0145487	movie	Spider-Man	Spider-Man	0.0	2002.0		121	Action,Adventure,Sci-Fi
tt0383574	movie	Pirates of the Caribbean: Dead Man's Chest	Pirates of the Caribbean: Dead Man's Chest	0.0	2006.0		151	Action,Adventure,Fantasy
tt2250912	movie	Spider-Man: Homecoming	Spider-Man: Homecoming	0.0	2017.0		133	Action,Adventure,Sci-Fi
tt0295297	movie	Harry Potter and the Chamber of Secrets	Harry Potter and the Chamber of Secrets	0.0	2002.0		161	Adventure,Family,Fantasy
tt2294629	movie	Frozen	Frozen	0.0	2013.0		102	Adventure,Animation,Comedy
tt1219289	movie	Limitless	Limitless	0.0	2011.0		105	Sci-Fi,Thriller
tt1276104	movie	Looper	Looper	0.0	2012.0		119	Action,Drama,Sci-Fi
tt6320628	movie	Spider-Man: Far from Home	Spider-Man: Far from Home	0.0	2019.0		129	Action,Adventure,Comedy
tt2310332	movie	The Hobbit: The Battle of the Five Armies	The Hobbit: The Battle of the Five Armies	0.0	2014.0		144	Adventure,Fantasy
tt0290334	movie	X2: X-Men United	X2	0.0	2003.0		134	Action,Sci-Fi,Thriller
tt1570728	movie	Crazy, Stupid, Love.	Crazy, Stupid, Love.	0.0	2011.0		118	Comedy,Drama,Romance
tt0467406	movie	Juno	Juno	0.0	2007.0		96	Comedy,Drama
tt1229238	movie	Mission: Impossible - Ghost Protocol	Mission: Impossible - Ghost Protocol	0.0	2011.0		132	Action,Adventure,Thriller
tt4425200	movie	John Wick: Chapter 2	John Wick: Chapter 2	0.0	2017.0		122	Action,Crime,Thriller
tt0298148	movie	Shrek 2	Shrek 2	0.0	2004.0		93	Adventure,Animation,Comedy
tt1677720	movie	Ready Player One	Ready Player One	0.0	2018.0		140	Action,Adventure,Sci-Fi
tt0362227	movie	The Terminal	The Terminal	0.0	2004.0		128	Comedy,Drama,Romance
tt1515091	movie	Sherlock Holmes: A Game of Shadows	Sherlock Holmes: A Game of Shadows	0.0	2011.0		129	Action,Adventure,Mystery
tt0443453	movie	Borat	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	0.0	2006.0		84	Comedy
tt6146586	movie	John Wick: Chapter 3 - Parabellum	John Wick: Chapter 3 - Parabellum	0.0	2019.0		130	Action,Crime,Drama
tt2381249	movie	Mission: Impossible - Rogue Nation	Mission: Impossible - Rogue Nation	0.0	2015.0		131	Action,Adventure,Thriller
tt0147800	movie	10 Things I Hate About You	10 Things I Hate About You	0.0	1999.0		97	Comedy,Drama,Romance
tt0117571	movie	Scream	Scream	0.0	1996.0		111	Horror,Mystery
tt3799694	movie	The Nice Guys	The Nice Guys	0.0	2016.0		116	Action,Comedy,Crime
tt1371111	movie	Cloud Atlas	Cloud Atlas	0.0	2012.0		172	Drama,Mystery,Sci-Fi
tt0117500	movie	The Rock	The Rock	0.0	1996.0		136	Action,Adventure,Thriller
tt1193138	movie	Up in the Air	Up in the Air	0.0	2009.0		109	Comedy,Drama,Romance
tt7888964	movie	Nobody	Nobody	0.0	2021.0		92	Action,Crime,Drama
tt4925292	movie	Lady Bird	Lady Bird	0.0	2017.0		94	Comedy,Drama
tt4975722	movie	Moonlight	Moonlight	0.0	2016.0		111	Drama
tt5727208	movie	Uncut Gems	Uncut Gems	0.0	2019.0		135	Crime,Drama,Thriller
tt1197624	movie	Law Abiding Citizen	Law Abiding Citizen	0.0	2009.0		109	Action,Crime,Drama
tt1790885	movie	Zero Dark Thirty	Zero Dark Thirty	0.0	2012.0		157	Drama,History,Thriller
tt4550098	movie	Nocturnal Animals	Nocturnal Animals	0.0	2016.0		116	Drama,Thriller
tt2397535	movie	Predestination	Predestination	0.0	2014.0		97	Action,Drama,Sci-Fi
tt3450958	movie	War for the Planet of the Apes	War for the Planet of the Apes	0.0	2017.0		140	Action,Adventure,Drama
tt0121164	movie	Corpse Bride	Corpse Bride	0.0	2005.0		77	Animation,Comedy,Drama
