tconst	averageRating	numVotes
tt0001978	5.9	70
tt0001987	6.7	25
tt0001989	6.6	17
tt0001993	4.1	22
tt0001998	4.5	44
tt0002004	5.6	21
tt0002020	4.7	172
tt0002022	6.0	13
tt0002026	4.5	17
tt0002029	6.0	77
tt0002031	4.5	26
tt0002033	5.2	47
tt0002034	5.6	76
tt0002041	4.8	74
tt0002045	4.3	100
tt0002046	4.3	13
tt0002054	5.8	260
tt0002056	6.5	269
tt0002064	5.1	95
tt0002065	6.5	65
tt0002066	3.9	105
tt0002068	5.5	54
tt0002070	5.1	57
tt0002071	4.2	21
tt0002078	5.3	69
tt0002082	6.0	436
tt0002083	6.1	359
tt0002093	5.5	43
tt0002095	5.6	39
tt0002096	4.2	21
tt0002097	4.2	38
tt0002098	5.9	165
tt0002101	5.1	649
tt0002107	4.6	26
tt0002113	6.8	1307
tt0002114	4.7	21
tt0002121	5.3	50
tt0002122	6.2	350
tt0002124	5.1	415
tt0002126	5.8	96
tt0002130	7.0	3852
tt0002132	5.8	26
tt0002133	5.7	240
tt0002136	5.6	123
tt0002139	5.7	24
tt0002143	6.0	892
tt0002144	5.4	22
tt0002145	9.0	15
tt0002151	4.8	36
tt0002152	5.3	11
tt0002153	5.9	87
tt0002159	4.6	49
tt0002160	6.2	153
tt0002162	4.7	91
tt0002167	4.5	27
tt0002172	5.5	37
tt0002176	5.8	347
tt0002177	6.0	94
tt0002179	3.8	43
tt0002181	6.1	273
tt0002186	6.4	155
tt0002187	5.4	14
tt0002190	6.1	444
tt0002196	4.8	23
tt0002197	5.5	338
tt0002198	6.1	31
tt0002199	5.8	681
tt0002200	6.1	104
tt0002202	4.8	18
tt0002203	5.0	70
tt0002206	5.4	24
tt0002208	6.7	1360
tt0002212	6.1	45
tt0002214	6.1	49
tt0002216	6.0	50
tt0002220	4.5	47
tt0002221	6.7	550
tt0002224	5.1	178
tt0002226	5.8	86
tt0002230	6.4	113
tt0002232	5.3	73
tt0002233	4.6	160
tt0002234	8.5	28
tt0002251	7.2	15
tt0002253	5.2	22
tt0002255	4.6	63
tt0002259	4.8	18
tt0002260	6.4	1432
tt0002261	6.0	40
tt0002262	5.4	14
tt0002266	7.8	16
tt0002268	5.6	16
tt0002273	5.4	43
tt0002277	6.8	40
tt0002278	5.3	49
tt0002280	4.9	60
tt0002281	6.1	416
tt0002282	6.1	68
tt0002287	6.0	16
tt0002290	5.2	73
tt0002293	4.2	21
tt0002295	7.7	16
tt0002300	6.2	21
tt0002302	6.0	73
tt0002303	5.6	218
tt0002305	7.9	34
tt0002309	8.6	23
tt0002318	5.8	64
tt0002320	3.8	21
tt0002325	5.2	11
tt0002329	5.0	39
tt0002330	5.2	23
tt0002332	5.2	47
tt0002337	5.8	17
tt0002340	5.7	63
tt0002342	5.6	126
tt0002349	5.4	26
tt0002350	6.4	381
tt0002354	6.1	215
tt0002355	5.8	82
tt0002357	6.1	272
tt0002369	6.2	73
tt0002370	6.0	19
tt0002371	6.3	27
tt0002374	6.2	20
tt0002375	5.2	15
tt0002380	5.3	30
tt0002381	6.6	2617
tt0002382	6.2	87
tt0002383	7.8	12
tt0002386	5.8	165
tt0002387	4.4	58
tt0002391	6.3	967
tt0002392	6.5	16
tt0002395	4.8	15
tt0002398	5.2	60
tt0002399	4.1	28
tt0002400	5.7	270
tt0002402	7.7	9
tt0002405	5.2	44
tt0002406	5.0	28
tt0002408	6.1	346
tt0002409	6.9	21
tt0002415	5.8	667
tt0002421	6.0	129
tt0002423	6.6	1081
tt0002429	6.2	188
tt0002431	5.0	15
tt0002434	9.0	14
tt0002437	9.0	14
tt0002440	4.1	34
tt0002441	5.8	36
tt0002443	4.6	22
tt0002445	6.1	500
tt0002449	6.4	73
tt0002451	8.5	25
tt0002452	6.3	280
tt0002461	5.7	342
tt0002465	5.3	86
tt0002466	5.1	13
tt0002470	5.8	11
tt0002473	6.5	101
tt0002474	6.4	15
tt0002475	6.1	135
tt0002477	6.2	16
tt0002478	5.7	92
